source,target,weight
586524,500358,1
652879,676601,1
607903,568005,1
691182,503076,1
687151,652824,1
555871,41348,1
640781,337826,1
131910,688491,1
106203,159718,1
224813,689506,1
548759,575686,1
227747,579244,1
317761,669644,2
506603,105718,1
580182,686050,2
608544,572922,1
679697,688843,1
77270,194766,1
519189,605545,1
691809,630916,1
552781,206858,1
534970,211828,1
205786,577154,1
25786,540492,1
228825,552017,1
651342,692218,1
671478,692105,1
504513,571340,1
689123,640781,2
691306,248671,1
690638,533552,1
499873,691925,2
85518,565523,1
500110,291549,1
176973,667010,1
691661,579299,1
538779,526247,1
540865,655655,1
512808,606156,1
672797,499749,1
640048,66166,1
499857,238226,1
689023,534185,1
585517,57068,1
679951,499431,1
690843,239484,1
26373,636781,1
217367,128814,1
178915,565783,1
532982,83268,1
49497,501232,1
243821,499205,1
195869,691923,2
688994,681797,1
63226,681582,1
500461,654563,1
665882,683359,1
208009,176914,1
691396,514407,1
51400,75113,1
583505,502111,1
204200,676601,1
572922,61486,1
552781,690432,1
603183,527106,1
532044,85820,1
688393,573657,1
688621,684221,1
680534,683458,1
667125,637827,1
541548,24050,1
117656,568472,1
667444,166736,1
677212,125383,1
679742,681512,1
3961,636462,2
98655,206053,1
602748,590147,1
532731,691544,1
652645,40458,3
536826,560004,2
681721,690696,1
130290,589756,1
576858,584767,1
120869,633296,1
505891,678196,1
217058,631264,1
3481,107499,1
589748,207112,1
580248,683458,1
174446,204200,1
520558,679615,1
605416,501035,3
499212,674106,1
205367,317761,1
208911,671476,1
579116,165784,1
218671,563778,2
228053,690050,1
689861,606809,1
130519,577339,1
580495,674106,1
520799,689735,1
667720,227839,1
28951,550624,1
564382,512600,1
73289,654445,1
7031,679687,1
631354,57326,1
633843,633296,2
655154,605953,1
49618,510670,1
158814,65134,1
546730,515061,1
136340,502260,1
507190,164362,1
501145,606809,1
542654,169070,1
29470,554620,1
193754,670511,1
568836,25633,1
17942,668937,1
203265,525936,3
499751,688531,1
85062,550769,1
673496,639802,1
117560,569984,3
231977,606430,1
166728,588480,1
175580,568800,1
204199,606647,1
574429,122374,1
14694,652334,1
503323,174010,1
690645,606622,1
64217,55475,1
44009,191043,1
687471,638640,1
500324,629980,1
587206,528524,1
680777,634833,1
229790,25580,2
638145,666344,1
690843,25937,1
176804,605466,2
163841,678038,1
302559,151912,1
680027,25633,1
555871,500699,3
208564,580650,1
603984,202438,1
683408,557800,1
636675,587442,1
520813,34423,1
169070,558132,1
500146,691617,1
531626,553340,1
509380,688994,1
654289,665882,1
602748,102731,1
519189,667658,1
532591,117568,1
605172,142759,1
509546,674016,1
690068,67149,1
581613,341745,1
53060,550723,1
76596,530835,1
679518,317761,1
638700,677367,1
683006,527743,1
527744,686081,1
690638,517851,1
510266,569717,1
511415,679990,1
151912,26547,1
499280,534149,1
676367,543426,1
561688,86590,1
603634,236360,1
673496,41062,1
606233,667337,1
600899,687471,1
239017,517614,1
606156,588834,1
677011,636579,1
653756,640040,1
55011,52997,1
635882,550723,1
581657,38650,1
529936,76871,1
671476,652058,1
576836,168570,3
123620,151238,1
553379,606430,1
525222,499212,1
177299,500229,2
26373,144903,1
499757,176957,1
